parameter,value,total_trades,wins,losses,win_rate,profit_factor,average_rr,total_pnl,average_winner,average_loser,best_trade_pnl,worst_trade_pnl,research_score,run_dir
min_gap_atr,0.3,34,14,20,0.4117647058823529,2.4220643605903405,1.1163663671646822,634.0996093750073,77.14288504464301,-22.295039062499747,377.84921875000146,-108.25,59.19,experiments/runs/2026-07-13_012
min_gap_atr,0.7,21,6,15,0.2857142857142857,2.1369492487087003,0.3010258851597752,363.1984374999993,113.77473958333394,-21.296666666666958,377.84921875000146,-47.400781249998545,46.66,experiments/runs/2026-07-13_016
min_gap_atr,0.4,31,9,22,0.2903225806451613,1.4816612746077817,0.13064925048057088,240.9992187500029,82.37213541666682,-22.743181818181753,377.84921875000146,-108.25,37.55,experiments/runs/2026-07-13_013
min_gap_atr,0.5,29,9,20,0.3103448275862069,1.4000788475070443,0.011928005852898913,198.9992187500029,77.3776909722223,-24.86999999999989,377.84921875000146,-108.25,35.78,experiments/runs/2026-07-13_014
min_gap_atr,0.6,25,6,19,0.24,1.4425271271099043,-0.05572304047613476,192.69843750000655,104.69140625000061,-22.918421052631427,377.84921875000146,-52.04999999999927,34.43,experiments/runs/2026-07-13_015
